repo_owner,repo_name,language,generated_behavioral_tests,best_score,Claude Opus 4.6 score,Claude Opus 4.6 cost,Claude Opus 4.6 calls,Claude Sonnet 4.6 score,Claude Sonnet 4.6 cost,Claude Sonnet 4.6 calls,Claude Opus 4.7 score,Claude Opus 4.7 cost,Claude Opus 4.7 calls,Gemini 3.1 Pro score,Gemini 3.1 Pro cost,Gemini 3.1 Pro calls,GPT 5.4 score,GPT 5.4 cost,GPT 5.4 calls,Claude Haiku 4.5 score,Claude Haiku 4.5 cost,Claude Haiku 4.5 calls,GPT 5.4 mini score,GPT 5.4 mini cost,GPT 5.4 mini calls,GPT 5 mini score,GPT 5 mini cost,GPT 5 mini calls,Gemini 3 Flash score,Gemini 3 Flash cost,Gemini 3 Flash calls
mgdm,htmlq,rs,1455,0.939,0.9388,13.5506,325,0.8797,22.9612,627,0.923,3.1117,108,0.8756,1.4601,104,0.6082,0.3023,14,0.7801,0.5776,144,0.378,0.0333,9,0.0124,0.0179,13,0.844,0.2855,140
mgechev,revive,go,727,0.464,0.4635,10.3064,254,0.3411,17.2551,476,0.4305,2.5247,62,0.2476,1.1173,75,0.2132,0.3806,15,0.2586,0.5485,149,0.0619,0.0191,8,0.0481,0.0136,8,0.2503,0.2355,61
mibk,dupl,go,373,0.85,0.7962,13.8511,215,0.7158,45.6268,514,0.8499,4.9265,88,0.4799,1.3036,71,0.5845,0.4475,13,0.3834,0.6856,111,0.571,0.0308,9,0.3539,0.0249,13,0.6649,0.2553,85
mikefarah,yq,go,2000,0.395,0.0,2.8481,217,0.3945,35.5137,532,0.1145,1.2832,38,0.1035,1.0185,60,0.069,0.7621,20,0.1595,1.5513,183,0.0515,0.0215,6,0.0395,0.0172,8,0.0115,0.1851,65
Miserlou,Loop,rs,710,0.946,0.9465,8.7405,301,0.4577,7.5627,370,0.793,5.2177,143,0.8169,1.6598,176,0.5197,0.2396,12,0.5493,0.9387,145,0.1099,0.0424,8,0.2423,0.0177,15,0.5197,0.5079,142
mkj,dropbear,c,682,0.581,0.5177,8.145,152,0.4159,67.8101,600,0.4056,1.6247,56,0.3835,1.0506,69,0.5811,0.15,10,0.2655,0.263,78,0.2198,0.0197,7,0.1696,0.0142,12,0.4454,0.1914,56
mookid,diffr,rs,606,0.847,0.7723,13.0296,208,0.8069,27.3266,384,0.8465,4.6937,102,0.6617,3.3349,154,0.6452,0.1902,8,0.5462,1.1105,143,0.0,0.0229,7,0.5512,0.0274,15,0.5231,0.2535,76
multiprocessio,dsq,go,542,0.803,0.7638,14.9654,351,0.8026,32.9221,610,0.6587,3.2821,98,0.5055,1.6409,100,0.4926,0.5379,24,0.3026,0.7675,134,0.1015,0.0266,8,0.2528,0.0359,27,0.0,0.3797,118
nachoparker,dutree,rs,641,0.895,0.8955,13.0905,243,0.7832,17.6218,335,0.0031,19.2582,164,0.0,0.6909,54,0.3651,0.1442,8,0.4243,0.4524,88,0.5008,0.0301,8,0.4477,0.0135,8,0.3869,0.3262,81
naggie,dstask,go,1278,0.588,0.5884,10.2148,241,0.5822,31.1515,632,0.507,3.0604,96,0.0509,1.5177,66,0.4883,0.4902,12,0.3083,0.6943,95,0.018,0.0236,7,0.072,0.0233,18,0.2261,0.3089,90
NikolaDucak,caps-log,cpp,551,0.617,0.5644,11.1194,283,0.0998,23.7444,425,0.4265,2.399,70,0.6171,1.7013,90,0.3793,0.2948,16,0.3485,0.4905,97,0.1887,0.0153,7,0.1887,0.0095,13,0.1906,0.355,88
nikolassv,bartib,rs,722,0.873,0.8089,10.9215,274,0.8435,13.6289,283,0.8726,13.5473,219,0.6247,1.5779,99,0.5859,0.422,12,0.4834,0.8875,149,0.2327,0.0553,10,0.187,0.045,19,0.5111,0.255,86
ninja-build,ninja,cpp,1438,0.723,0.7225,16.0965,324,0.6752,18.2876,400,0.048,1.6897,69,0.3707,0.6815,45,0.0355,0.2047,9,0.3421,0.9054,129,0.0,0.03,14,0.0563,0.0109,11,0.4228,0.2303,65
noborus,ov,go,1854,0.876,0.8759,12.6705,313,0.8716,13.1309,389,0.7147,2.3521,99,0.02,2.3713,111,0.3749,0.2111,11,0.5717,0.4784,97,0.1117,0.0338,28,0.3619,0.0119,10,0.041,0.1858,62
noborus,trdsql,go,1312,0.668,0.6677,9.8905,307,0.0297,12.6005,413,0.6166,3.1251,73,0.4642,1.1017,96,0.4909,0.3848,14,0.2515,1.7006,207,0.0335,0.0329,12,0.029,0.0136,14,0.1494,0.2628,109
Nukesor,pueue,rs,638,0.154,0.1536,12.8952,252,0.0157,15.4609,231,0.1238,1.9347,68,0.1254,1.0669,72,0.0392,0.1583,7,0.0423,0.5565,118,0.0408,0.0435,9,0.0188,0.0201,11,0.0282,0.3034,91
nuta,nsh,rs,1963,0.837,0.7687,13.2214,304,0.8064,27.0706,496,0.6607,3.6992,92,0.8375,0.9243,64,0.5018,0.1863,8,0.3678,1.1642,148,0.0,0.0238,14,0.7606,0.0133,10,0.3128,0.2757,122
o2sh,onefetch,rs,1166,0.817,0.8173,16.247,289,0.0232,33.4526,604,0.536,1.8352,72,0.0,1.6811,89,0.5223,0.2237,8,0.3585,0.7209,98,0.1578,0.0278,7,0.0,0.0245,13,0.1355,0.6052,91
ogham,dog,rs,1300,0.842,0.8415,11.7156,273,0.7646,7.1805,249,0.8077,5.4731,144,0.7077,1.1388,99,0.2877,0.1657,7,0.5169,0.7369,112,0.1777,0.0342,7,0.1023,0.0221,17,0.69,0.3049,94
oppiliappan,eva,rs,913,0.887,0.8861,15.0457,400,0.839,12.8412,393,0.8872,3.6798,122,0.0,1.3995,113,0.7579,0.3329,13,0.5148,0.8544,144,0.4491,0.0607,8,0.6046,0.0356,23,0.6692,0.2649,116
oppiliappan,statix,rs,815,0.428,0.1129,14.1692,282,0.1129,24.1714,391,0.4282,3.2776,89,0.2933,1.182,60,0.254,0.2958,11,0.0,0.941,140,0.2405,0.0237,8,0.2172,0.0137,18,0.308,0.2034,51
orf,gping,rs,339,0.785,0.7847,10.8677,211,0.587,11.3764,271,0.7227,1.8948,70,0.3687,0.6601,33,0.4956,0.1774,8,0.1622,0.4773,113,0.2094,0.0335,18,0.2183,0.0107,7,0.2979,0.2152,64
OSGeo,gdal,cpp,657,0.254,0.0,2.5973,218,0.2542,48.0997,684,0.0365,0.4705,22,0.0502,0.7386,39,0.0533,0.3558,9,0.0609,0.6428,142,0.0502,0.0347,7,0.0167,0.0852,35,0.067,0.2425,70
OSGeo,PROJ,cpp,5319,0.738,0.1105,14.0842,288,0.2228,19.2647,427,0.2418,1.446,35,0.2241,1.0147,66,0.7377,0.4662,13,0.0135,1.1439,173,0.2235,0.0222,10,0.0002,0.032,16,0.2228,0.1878,80
paradigmxyz,solar,rs,1978,0.433,0.4333,14.2303,245,0.4287,15.7548,367,0.4302,3.3035,98,0.3225,2.3952,146,0.1148,0.1564,8,0.3246,0.7985,103,0.0,0.023,8,0.0329,0.0137,11,0.2235,0.3631,100
parcel-bundler,lightningcss,rs,2828,0.536,0.5357,17.4049,312,0.4986,45.823,705,0.4325,1.2575,46,0.3402,1.216,91,0.367,0.2473,12,0.2868,1.2887,165,0.3175,0.0307,22,0.366,0.0321,23,0.4296,0.3315,117
peco,peco,go,1224,0.767,0.7672,14.1943,391,0.7459,15.9596,351,0.6748,2.4972,84,0.7141,1.5678,74,0.665,0.2857,11,0.1634,1.1447,146,0.2892,0.0278,8,0.5662,0.0251,10,0.116,0.2027,45
pemistahl,grex,rs,1312,0.739,0.6601,16.9297,266,0.5633,48.8233,743,0.7393,7.6218,153,0.6143,1.2869,159,0.6654,0.3163,7,0.0,1.02,104,0.2157,0.046,10,0.3468,0.0849,36,0.5282,0.2252,81
php,php-src,c,14288,0.048,0.0,2.9449,205,0.0,7.3785,326,0.0087,0.2494,14,0.0171,1.3276,109,0.0219,0.2383,7,0.0477,0.521,119,0.0113,0.0278,13,0.0087,0.0383,14,0.0057,0.2214,65
pier-cli,pier,rs,692,0.837,0.8367,9.1626,245,0.0289,4.7683,211,0.8338,3.7101,83,0.698,1.1025,73,0.5751,0.5228,13,0.4566,0.8795,115,0.3685,0.0807,16,0.146,0.035,29,0.5275,0.3539,133
pls-rs,pls,rs,332,0.623,0.3102,23.1656,497,0.5843,40.5395,680,0.241,1.8564,75,0.6235,1.6043,127,0.1687,0.2358,9,0.1596,0.7725,112,0.0964,0.0254,9,0.0241,0.0097,7,0.1386,0.348,78
psampaz,go-mod-outdated,go,285,0.982,0.9825,1.182,85,0.7158,1.1312,100,0.7614,0.7721,43,0.7368,0.7653,48,0.8035,0.1483,10,0.5474,0.5261,108,0.4667,0.1615,255,0.014,0.0221,16,0.8667,0.1365,55
quinn-rs,quinn,rs,522,0.617,0.6169,7.4358,147,0.5728,16.6538,375,0.5383,2.2724,54,0.5651,1.9901,88,0.4693,0.3075,10,0.2625,0.513,92,0.2088,0.0411,9,0.1935,0.019,9,0.2625,0.3181,88
raviqqe,muffet,go,293,0.881,0.8055,7.2385,170,0.8805,11.7772,290,0.8737,3.7703,111,0.6075,1.0349,60,0.8123,0.3004,13,0.4608,0.4996,87,0.3345,0.0267,9,0.273,0.0186,14,0.5973,0.3311,79
rbakbashev,elfcat,rs,564,0.982,0.9291,15.7898,251,0.8156,23.3895,403,0.9823,23.5167,271,0.4521,2.8955,140,0.0248,0.1882,10,0.2748,0.46,89,0.1915,0.0271,9,0.0266,0.0357,26,0.5319,0.5057,139
rcoh,angle-grinder,rs,1130,0.38,0.0,3.8347,303,0.0044,37.0053,660,0.3796,3.5507,84,0.1876,1.4627,114,0.2195,0.4868,15,0.131,1.18,147,0.0681,0.0661,12,0.069,0.0273,17,0.2018,0.2467,73
rhysd,kiro-editor,rs,595,0.933,0.9328,15.0737,329,0.8605,33.621,628,0.4067,0.7062,46,0.6588,0.8395,45,0.3429,0.1267,9,0.3613,0.8696,115,0.2605,0.0444,8,0.1361,0.0129,15,0.6975,0.3517,64
riquito,tuc,rs,1196,0.927,0.9047,16.1122,317,0.8813,16.1917,506,0.9273,8.5766,165,0.1714,0.9361,87,0.5385,0.3035,10,0.5895,0.9382,182,0.0,0.0434,22,0.3696,0.0224,14,0.0151,0.283,82
robertdavidgraham,masscan,c,2549,0.57,0.5696,13.5934,295,0.4884,14.7916,500,0.5057,1.1258,49,0.5257,1.578,100,0.4068,0.2413,9,0.3029,1.6529,197,0.1852,0.0259,8,0.213,0.024,15,0.523,0.2646,85
rochacbruno,marmite,rs,668,0.454,0.4536,13.9575,206,0.1123,57.177,790,0.2141,0.7387,28,0.2231,1.2614,62,0.2246,0.3285,11,0.0,0.9436,115,0.0823,0.0557,14,0.2784,0.0213,13,0.1856,0.3531,79
rs,curlie,go,701,0.893,0.893,12.4924,243,0.8845,25.2507,518,0.8488,15.7035,247,0.7903,1.6197,127,0.535,0.2725,10,0.4294,0.5924,118,0.1113,0.0196,9,0.0,0.0261,16,0.7047,0.2189,85
rs,jplot,go,583,0.89,0.8902,8.1747,139,0.4768,31.8251,344,0.825,2.3409,85,0.199,1.6283,67,0.4322,0.1215,11,0.4185,0.1846,67,0.3499,0.023,10,0.163,0.0172,16,0.4511,0.1544,35
rust-embedded,svd2rust,rs,920,0.729,0.6587,12.9143,218,0.7293,25.4284,389,0.1467,0.611,27,0.4554,1.8554,117,0.0946,0.0853,6,0.3087,0.6613,92,0.0804,0.0256,9,0.0728,0.036,19,0.0087,0.3917,82
rust-ethereum,ethabi,rs,997,0.909,0.8395,10.2591,257,0.8987,12.5511,407,0.9087,13.928,246,0.0782,2.2263,160,0.4935,0.3186,12,0.5216,1.2515,159,0.0,0.0308,14,0.3049,0.0281,25,0.0782,0.2332,89
rust-lang,mdBook,rs,1114,0.555,0.0413,13.1366,244,0.5548,50.8924,644,0.3788,1.5171,60,0.2154,1.8255,110,0.4084,0.2573,9,0.1822,0.7408,139,0.0,0.0347,9,0.0862,0.0355,18,0.2558,0.2465,80
rvben,rumdl,rs,3322,0.407,0.407,8.2001,206,0.028,63.8696,785,0.1469,1.3642,41,0.2354,1.2181,66,0.1084,0.3594,7,0.0141,0.6016,88,0.0,0.0571,13,0.0491,0.0356,21,0.2592,0.3411,77
samtools,samtools,c,1425,0.142,0.1418,10.1664,192,0.0133,26.6242,457,0.0372,0.8138,34,0.0526,1.4275,99,0.0709,0.3297,10,0.0302,0.2365,67,0.0386,0.0377,8,0.0175,0.0199,16,0.0393,0.343,97
sayanarijit,xplr,rs,463,0.605,0.3823,16.6122,277,0.1382,19.6679,407,0.6048,4.3608,108,0.3715,1.7599,87,0.3715,0.2609,11,0.3629,0.6051,123,0.3261,0.019,7,0.1361,0.0196,12,0.3521,0.2083,65
sclevine,yj,go,767,0.744,0.0,2.9219,293,0.0196,25.5562,730,0.7445,4.1361,88,0.5241,1.4004,85,0.502,0.316,13,0.4628,1.6144,184,0.0196,0.0246,8,0.3194,0.0154,13,0.0,0.2285,112
segmentio,chamber,go,1748,0.82,0.8198,11.9898,232,0.6213,14.1723,359,0.0938,3.9529,92,0.1985,1.34,66,0.5618,0.2352,9,0.4296,0.7783,117,0.1447,0.0276,9,0.2094,0.0437,24,0.4033,0.2122,77
sharkdp,bat,rs,801,0.332,0.0,2.8498,253,0.2422,21.2474,514,0.3184,1.1649,48,0.3321,1.7206,109,0.1336,0.2624,9,0.2797,0.6231,129,0.0312,0.0331,8,0.2809,0.0191,11,0.3308,0.2384,83
sharkdp,fd,rs,1235,0.781,0.0,1.071,183,0.7482,17.5704,384,0.7814,3.0165,80,0.5449,1.6884,111,0.3976,0.2839,12,0.3968,0.6098,117,0.0364,0.0314,8,0.0308,0.0465,16,0.4891,0.2584,88
sharkdp,hexyl,rs,906,0.828,0.8135,12.3672,236,0.8278,32.5725,443,0.8157,10.3539,164,0.3598,2.4567,122,0.5408,0.3187,12,0.3411,0.8656,92,0.0,0.0366,9,0.0728,0.0155,13,0.5188,0.4481,76
sharkdp,hyperfine,rs,291,0.543,0.1168,13.5801,265,0.1924,31.2086,546,0.543,1.5453,41,0.4364,1.2882,55,0.488,0.2472,9,0.2405,0.583,85,0.0722,0.052,10,0.0069,0.0206,9,0.1546,0.2666,68
sharkdp,pastel,rs,1114,0.772,0.772,17.4954,232,0.0,6.7237,321,0.746,3.2207,92,0.2702,1.621,73,0.5063,0.2232,7,0.3537,1.2205,179,0.0943,0.0402,21,0.1867,0.0379,32,0.1777,0.3834,82
shashwatah,jot,rs,752,0.846,0.8457,8.6971,216,0.6835,9.2678,374,0.7128,6.8281,182,0.762,2.3367,222,0.6303,0.5206,14,0.3777,1.9065,245,0.0745,0.0399,11,0.0386,0.0317,17,0.4149,0.4489,166
sheepla,pingu,go,383,0.966,0.9399,6.9331,165,0.9217,3.7782,175,0.9661,3.3599,104,0.0,1.109,48,0.6214,0.2248,10,0.7415,0.4765,87,0.1828,0.0139,9,0.6632,0.0226,18,0.5927,0.3003,59
sibprogrammer,xq,go,792,0.759,0.7588,13.8165,356,0.75,26.8381,625,0.0253,11.8636,227,0.6313,2.9434,158,0.5783,0.6624,11,0.3775,0.9831,103,0.3699,0.0556,13,0.0152,0.0286,15,0.6351,0.313,111
sigoden,argc,rs,995,0.441,0.398,30.1436,435,0.4412,79.1424,919,0.0794,0.6074,34,0.0714,1.3001,88,0.1025,0.5524,16,0.1035,1.4655,175,0.0241,0.0187,7,0.0734,0.0222,20,0.0884,0.2066,63
simeg,eureka,rs,344,0.788,0.7878,5.6659,195,0.4273,10.769,364,0.6657,2.496,104,0.407,1.7713,100,0.3488,0.4065,15,0.2209,0.577,118,0.2645,0.0529,11,0.1628,0.0354,16,0.3052,0.2078,66
sirwart,ripsecrets,rs,611,0.728,0.6383,16.1319,268,0.0736,65.8072,845,0.7283,7.4444,156,0.1964,2.1373,115,0.4632,0.2385,12,0.18,1.5057,186,0.0,0.0416,10,0.4288,0.0149,16,0.599,0.3873,129
sitkevij,hex,rs,823,0.917,0.7132,5.9653,227,0.723,11.6041,392,0.6634,2.7506,89,0.9174,1.2529,84,0.6719,0.1934,9,0.2868,0.6265,114,0.3609,0.0314,13,0.0437,0.0328,21,0.661,0.3375,124
skeema,skeema,go,1708,0.765,0.7488,7.9093,269,0.7646,16.7326,416,0.5726,1.467,63,0.5322,0.9555,77,0.031,0.4148,16,0.445,0.5461,72,0.1862,0.0182,8,0.2383,0.0341,23,0.541,0.582,114
sqlite,sqlite,c,13514,0.67,0.0,4.539,274,0.0135,28.8554,573,0.67,1.0756,37,0.0044,0.8495,77,0.0063,0.1984,9,0.2033,0.5671,137,0.0053,0.0248,11,0.1993,0.0149,14,0.0087,0.1887,74
sstadick,hck,rs,855,0.957,0.9462,11.6009,302,0.876,15.9334,374,0.9567,5.8413,142,0.5871,1.8676,129,0.8678,0.2465,10,0.6491,0.5731,107,0.6947,0.0259,9,0.8047,0.0261,13,0.0327,0.3252,114
stacked-git,stgit,rs,1488,0.2,0.0,1.9335,213,0.0396,31.2204,581,0.1014,0.5611,25,0.086,1.1831,94,0.1626,0.2316,8,0.0832,0.6021,104,0.0712,0.0212,9,0.2,0.0172,14,0.1263,0.2398,114
stathissideris,ditaa,java,609,0.204,0.1839,14.4323,260,0.1691,38.3052,461,0.0066,2.5428,76,0.0066,0.8919,44,0.0066,0.4565,12,0.0082,0.383,90,0.0148,0.0366,7,0.0066,0.0123,10,0.2036,0.1898,53
Stranger6667,jsonschema,rs,2933,0.517,0.5165,8.7615,233,0.0024,15.3192,406,0.0024,2.1786,61,0.0024,0.4684,33,0.0024,0.1797,10,0.0024,0.4507,113,0.1677,0.0481,15,0.1555,0.0212,12,0.4091,0.1728,80
svenstaro,genact,rs,232,0.591,0.5302,11.1138,158,0.5905,17.9265,298,0.2328,1.6993,49,0.3578,1.2509,44,0.2414,0.458,10,0.2414,0.5806,79,0.125,0.0245,10,0.0172,0.0247,9,0.2069,0.4692,48
svenstaro,miniserve,rs,304,0.786,0.7862,9.6772,137,0.7664,25.0274,420,0.6184,0.94,30,0.5954,0.7602,41,0.5855,0.2305,8,0.4539,0.6235,107,0.148,0.0492,26,0.0954,0.0273,13,0.398,0.2974,63
tarka,xcp,rs,1184,0.926,0.9257,5.0147,138,0.9172,8.9859,330,0.8471,2.5732,85,0.7373,0.7223,42,0.8446,0.2812,10,0.0,0.7311,107,0.2247,0.0448,18,0.0431,0.023,16,0.1858,0.2415,57
TheZoraiz,ascii-image-converter,go,465,0.641,0.6409,15.7491,278,0.5376,36.373,584,0.5892,7.9659,178,0.0,1.3046,76,0.2796,0.2808,7,0.1656,0.8133,135,0.0,0.0213,8,0.1247,0.0337,16,0.3871,0.3962,92
tinycc,tinycc,c,1978,0.128,0.0804,12.0112,189,0.0925,100.1219,879,0.0329,0.4485,22,0.0971,1.5197,108,0.1279,0.4257,12,0.0,0.3972,108,0.0217,0.0218,7,0.0157,0.0233,12,0.048,0.1586,50
tomarrell,wrapcheck,go,480,0.808,0.8083,10.8748,250,0.3597,11.8177,325,0.2458,6.252,148,0.4,0.9597,83,0.0917,0.3123,13,0.2062,1.1224,153,0.0104,0.0251,21,0.0813,0.0275,22,0.2333,0.2964,114
tomnomnom,gron,go,224,0.902,0.8795,15.3299,358,0.8438,14.1665,459,0.9018,9.926,206,0.7098,1.5648,177,0.5804,0.3563,13,0.7054,0.687,107,0.2009,0.0344,10,0.2232,0.0267,11,0.7902,0.3071,121
trasta298,keifu,rs,262,0.672,0.0,2.1907,178,0.0,5.2453,270,0.6718,1.1093,48,0.0725,2.3239,92,0.3664,0.1432,9,0.1031,0.6365,109,0.2176,0.0962,142,0.1603,0.0061,9,0.2595,0.2819,64
tree-sitter,tree-sitter,rs,1232,0.372,0.3612,11.0733,264,0.3718,14.9961,402,0.3506,8.3824,139,0.2297,0.8899,73,0.2914,0.2795,9,0.1396,0.5336,121,0.0617,0.0541,74,0.1338,0.0345,19,0.069,0.2985,90
tstack,lnav,cpp,990,0.134,0.1343,10.1587,341,0.0,3.96,395,0.0879,1.0695,43,0.0566,0.9103,57,0.0788,0.2298,9,0.0717,0.9201,121,0.0242,0.0299,11,0.0242,0.0458,20,0.103,0.2044,72
tukaani-project,xz,c,1410,0.36,0.0,1.3596,189,0.0879,24.276,507,0.3596,3.2718,94,0.2816,1.458,98,0.3532,0.3189,12,0.3014,0.4524,119,0.2652,0.0212,8,0.056,0.0586,18,0.2376,0.3333,93
typst,typst,rs,1724,0.28,0.1328,4.6207,285,0.0,52.4992,855,0.1172,1.5141,50,0.1555,0.6725,44,0.2802,0.3853,11,0.2059,0.719,127,0.0267,0.028,7,0.0383,0.0179,8,0.1584,0.2836,75
unhappychoice,gittype,rs,741,0.913,0.0,4.1355,242,0.0096,18.1659,396,0.9126,1.7362,71,0.4563,1.1637,65,0.6311,0.249,10,0.5631,0.3371,93,0.0096,0.0533,24,0.3301,0.0171,17,0.4175,0.3885,129
universal-ctags,ctags,c,2258,0.133,0.0,2.4871,226,0.1329,58.2831,659,0.0053,0.2887,22,0.0164,1.436,118,0.0363,0.2044,8,0.0102,0.7115,110,0.0035,0.0291,16,0.0089,0.0334,16,0.0168,0.2666,58
wfxr,code-minimap,rs,313,0.888,0.8562,9.407,236,0.7157,14.4798,348,0.8882,9.23,184,0.7348,1.8241,186,0.3802,0.2488,11,0.492,0.9809,131,0.0,0.0634,11,0.1917,0.0927,43,0.5304,0.261,107
wfxr,csview,rs,335,0.961,0.9612,8.2034,249,0.9254,7.7185,285,0.9254,3.3783,68,0.9313,1.3715,136,0.8866,0.1647,8,0.006,0.6269,109,0.4806,0.0536,9,0.0,0.02,14,0.8299,0.2764,100
WGUNDERWOOD,tex-fmt,rs,455,0.807,0.8066,19.0739,374,0.3736,21.4645,460,0.6396,2.866,81,0.5934,2.0139,143,0.5429,0.4966,13,0.4967,1.3182,196,0.367,0.0487,10,0.3055,0.074,22,0.5451,0.2495,95
wintermute-cell,ngrrram,rs,303,0.845,0.4752,11.8162,194,0.5809,39.8893,576,0.8449,21.9971,318,0.1353,4.2541,164,0.3102,0.2805,10,0.4389,0.5988,124,0.3102,0.0162,7,0.2772,0.0079,9,0.6205,0.3332,72
XAMPPRocky,tokei,rs,732,0.695,0.0,2.8216,193,0.6954,21.3041,409,0.5478,3.2482,95,0.5342,1.8054,112,0.3197,0.3949,11,0.2705,0.7059,94,0.0806,0.0409,8,0.1216,0.0124,8,0.4057,0.2569,71
xorg62,tty-clock,c,281,0.84,0.8399,10.3027,218,0.6441,12.0066,192,0.694,5.7012,123,0.6299,2.3451,90,0.7687,0.2246,8,0.0534,0.8826,139,0.3986,0.0194,6,0.2171,0.0142,10,0.5836,0.275,45
Y2Z,monolith,rs,713,0.512,0.0126,12.8113,305,0.0238,14.7204,406,0.0238,3.796,118,0.3871,0.9541,77,0.2581,0.2479,8,0.3675,0.8912,121,0.3296,0.0288,8,0.0126,0.0301,16,0.5119,0.3285,72
yaa110,nomino,rs,313,0.799,0.722,10.1133,270,0.7987,19.283,518,0.7955,4.2082,119,0.5367,1.5409,170,0.5144,0.3009,15,0.2652,0.6606,114,0.0575,0.0451,16,0.1502,0.0214,11,0.6102,0.2948,142
yassinebridi,serpl,rs,446,0.61,0.4081,12.9412,210,0.065,17.2751,310,0.6076,2.9195,96,0.5291,5.3137,134,0.6099,0.3574,13,0.5426,0.6431,95,0.4103,0.0264,15,0.4126,0.0129,10,0.4843,0.4351,116
yoav-lavi,melody,rs,1205,0.789,0.7444,12.0483,325,0.034,16.6743,502,0.7892,5.374,135,0.0606,2.095,203,0.3419,0.4539,19,0.3137,0.9762,131,0.0639,0.0326,9,0.034,0.0357,25,0.6232,0.2827,138
YS-L,flamelens,rs,224,0.594,0.5938,15.8126,252,0.5759,43.2612,490,0.5714,1.3806,62,0.1473,2.2518,77,0.2188,0.0685,7,0.4152,0.8151,157,0.1696,0.0142,8,0.1384,0.0152,11,0.442,0.1909,57
zevv,duc,c,874,0.834,0.0,5.0011,228,0.1177,30.0263,441,0.8341,2.1371,201,0.0,2.2356,142,0.4073,0.3016,7,0.167,1.3347,155,0.2506,0.0606,7,0.1682,0.0242,13,0.2391,0.402,78
zk-org,zk,go,1108,0.431,0.0117,14.0677,286,0.4305,24.2542,494,0.1399,1.518,59,0.1209,1.7475,139,0.1697,0.3047,8,0.0117,0.5939,91,0.0505,0.0293,9,0.0749,0.0184,12,0.139,0.2072,62
